rank,Video,Video views,Likes,Dislikes,Category,published
68,Вкладчикам Югры в Центробанке не рады,"2,04,782","5,352",63,News & Politics,2017
69,Sporto by Macho | The First Gaze,"5,20,49,705","1,307",,,2021
70,PUN - DAY ONE,"46,69,546","95,387",,Music,2024
71,7 dia,"29,43,159","33,263",,Music,2025
72,We asked you... What do you Chooze ?,"10,18,713","2,413",12,Autos & Vehicles,2017
73,Best Heavyweight Knockouts of All Time,"52,50,458","5,891",509,Sports,2007
74,Dog reacts to return of Nathan after two year Mormon mission,"60,40,429","5,972",194,Pets & Animals,2015
75,Orangutan loves baby bump,"59,89,058","4,282",282,Music,2016
76,Dog scared by fart,"59,38,416","3,883",129,Comedy,2015
77,НЕ ПОВЕЗЛО - UNLUCKY,"1,49,21,437","3,604","1,225",Comedy,2009
78,"Visitenkarten, Flyer oder Banner schon ab unter 10€.","49,29,481",3,2,People & Blogs,2017
79,we were in love (2024) (... 사랑했잖아... (2024)),"36,30,534","22,217",,Music,2024
80,David Beckham crazy pass (cross),"1,72,75,250","32,362",752,Sports,2008
81,LAVIE LOVE LIST | 2019,"1,01,88,590",9,0,Howto & Style,2019
82,Tra Tra Tra,"26,63,550",734,212,Comedy,2007
83,The ultimate seduction: Funny & bizarre slideshow,"8,17,44,457",,,Comedy,2008
84,Girl In Car Flashes Her Bra & Then Crashes Into A Truck!,"98,84,005","7,891","2,334",People & Blogs,2009
85,Girl blown by a plane,"1,22,55,456","7,725",745,Travel & Events,2012
86,La nevedere,"29,60,493","22,343",,Music,2022
87,Why Lands' End Business,"83,93,245",2,,,2021
88,KATSEYE - Touch (ft. YEONJUN of TOMORROW X TOGETHER),"22,79,833","1,68,798",,Music,2024
89,Lucio Corsi - Volevo essere un duro (Sanremo 2025),"60,16,657","1,37,088",,Music,2025
90,Storm (Storm),"21,13,438","12,274",,Music,2025
91,Barack Obama Hillary Clinton - Umbrella,"14,89,96,976","36,190","20,698",Comedy,2008
92,Nice Fight - Cops vs Drug Dealer,"1,71,66,129","12,980","3,713",Entertainment,2008
93,Uğur Volkan Uysal | Wix.com ile Kendi Sitenizi Kurun,"65,87,447",32,101,People & Blogs,2018
94,"[플로우] #오일수스킨 #숨방울스킨  15""","63,54,771",44,38,,2018
95,Olivia Rodrigo - drivers license (Official Video),"6,82,24,979","38,10,456","48,539",Music,2021
96,ALYPH - SWIPE (ft. Dato Seri Vida) Official Music Video,"46,45,815","93,750",,Music,2022
97,Unleash Your Urban Style,"44,85,529",2,,,2023
98,Meineke Financing- 15 Second Commercial,"3,23,87,918","4,071",,,2020
99,"Asake, Central Cee - Wave (Official Video)","1,07,79,032","2,87,616",,Music,2024
100,JoJo Siwa - Guilty Pleasure (Official Music Video),"38,70,451","39,264",,Music,2024
101,Chica Atractiva,"26,38,356","33,875",,Music,2025
102,[Dandadan] Creepy Nuts - オトノケ(Otonoke) (Official Music Video),"1,39,33,735","4,41,696",,Music,2024
103,Jedna fotografija dnevno u najgoroj godini života / One photo a day in the worst year of my life,"6,18,92,792","32,649","4,045",People & Blogs,2013
104,"Grilling Tip, How to Make a Non Stick Surface Part 1","47,02,870",786,51,Howto & Style,2014
105,Brock Lesnar serves breakfast in ESPN cafeteria prank | ESPN Archives,"24,72,045","28,842","1,204",Sports,2017
106,Top 20. Soundtracks Of All Times!,"35,90,248","2,836","2,542",Music,2007
107,Kobe dunks over Shaq in practice (funny),"1,26,49,333","4,492","1,247",Sports,2006
108,Танк Армата,"39,54,302","4,636","1,033",,2015
109,CRASH-405,"27,14,140",376,"1,665",Comedy,2006
110,"Paragard® - 'Your Hormones, Not Ours'","2,43,40,652",,,,2022
111,All aisles lead to savings. Every day!,"2,20,29,100",5,,,2023
112,Massimo Pericolo - Moneylove (Visual Video) ft. Emis Killa,"38,24,053","36,936",,Music,2023
113,Kodak Black - Hit Stick,"20,32,486","87,384",,Music,2024
114,German Shepherd scared of Stuffed Toy Tiger. Very Funny! (ORIGINAL VIDEO & VERSION)),"53,52,751","6,997",171,People & Blogs,2015
115,Tenacious D - Explosivo,"27,54,518","10,186",204,Entertainment,2006
116,Aydem Enerji - Hayat için enerji,"20,03,221",5,1,,2020
117,HSMFanNisa Exclusive:High School Musical 2 Song(s)With Lyric,"73,52,624","2,538",256,Music,2007
118,Fo fo fo fo fristajlo!,"28,94,700","6,108",152,Comedy,2007
119,LILHUDDY - America's Sweetheart (Official Music Video),"30,86,667","3,46,074","12,082",Music,2021
120,Sofia Castro - Bien Por Ti (Official Video),"34,16,695","2,04,468",,Music,2022
121,Sensodent-K | Most random bahana to avoid cold drink | Tooth Mein Current,"43,85,102",52,,,2023
122,Sunway College - Pathway To A Brighter Future,"38,29,095",,,,2019
123,"Eladio Carrión - Quizás, Tal Vez (Live Session) | Vevo ctrl","41,96,300","56,077",,Music,2023
124,Eden Muñoz - ¿CÓMO TE FUE SIN MÍ?,"18,47,580","32,324",,Music,2024
125,Emeron Lovely Naturals Sakura,"1,60,40,649",41,,,2020
126,"ROSALÍA, J Balvin - Con Altura (Official Video) ft. El Guincho","2,22,40,22,798","98,02,981",,Music,2019
127,How NOT to Load a New Ford F-350 Truck on a Trailer,"34,15,700",942,303,People & Blogs,2015
128,baby playing in mother's womb !!!!!,"58,06,522","2,810",101,Entertainment,2010
129,Cats Welcoming Home Soldiers (parody video),"21,26,930","1,984",259,Comedy,2014
130,Hello Osko by BPAY :: 15,"37,63,894",,,,2018
131,Coconut crab attacks bird,"26,91,332",785,225,People & Blogs,2017
132,Gta sa Kamehameha,"24,20,719",,,Entertainment,2008
133,Swimming,"2,56,71,563","2,240","2,419",People & Blogs,2007
134,Ice Spice - in ha mood (Official Video),"37,25,161","1,60,883",,Music,2023
135,„So wie wir Wontis es auch tun.“ - Laura & Jörg Wontorra rufen zum Licht-Recycling auf.💡♻️,"25,96,725",1,,,2023
136,"Jay Wheeler, Dei V, Hades66 - Pacto (Official Video) ft. Luar La L","2,05,02,045","1,80,683",,Music,2023
137,How to fix a small dent,"2,37,78,413","5,399",419,Education,2010
138,Хоккей в фуре - вызов принят!,"15,56,347","2,726","1,433",Sports,2017
139,44 Magnum Las Vegas,"23,45,415","7,883",259,People & Blogs,2010
140,Miss Carolina - se le salio!,"3,77,87,055","3,476","10,810",Comedy,2009
141,Two guys cause trouble on Ryanair,"24,51,202",697,441,People & Blogs,2016
142,Hot Bikini Waxing Girls!,"18,88,388",398,106,People & Blogs,2006
143,Bucket Bear better quality,"43,99,693","2,977",117,Pets & Animals,2014
144,c`e solo l inter... a farci ridere,"21,36,208","3,379","1,966",Sports,2007
145,Remember the 80's ?,"32,93,594","1,481",89,Comedy,2006
146,Το ποιο απίστευτο βίντεο που έχετε δει ποτέ!!! The most INCREDIBLE VIDEO EVER !!! WWW.BYTHEWAY.GR,"33,60,262","2,084","3,489",Sports,2008
147,Funny Foul Shot Blooper,"25,40,079","3,507",93,Sports,2011
148,video 1450041175 mp4,"23,68,587",732,90,People & Blogs,2015
149,너라는 별,"44,06,467","18,295",,Music,2024
150,Sunway College - Pathway To A Brighter Future #2,"33,91,881",16,,,2019
151,Kim Petras & Nicki Minaj - Alone (Official Music Video),"1,29,35,167","2,79,649",,Music,2023
152,Work Hard. Stay Humble. Wear Dixxon.,"5,08,22,036",101,,,2022
153,High School Musical 3 - Can I Have This Dance *OFFICIAL MUSIC VIDEO w/lyrics (HQ),"2,55,76,382","23,880","1,691",Music,2008
154,Elephant Auto Insurance-  Multi Car U.S. Discount,"61,89,110",9,11,,2018
155,Zebra Drowning a Lion,"3,04,75,518","19,766","2,398",Autos & Vehicles,2009
156,Garth Brooks - The Dance - Kick Cancer's ASS!,"37,51,723","2,513",90,Entertainment,2014
157,Wyzywająca Doda,"21,95,081",712,507,Entertainment,2006
158,Кредит наличными 15 sec,"2,14,92,932",16,96,News & Politics,2017
159,We Treat Minor and Major Medical Issues,"1,32,57,401",27,15,,2019
160,Smartest Police Dog Ever!,"38,18,260","2,410",29,People & Blogs,2009
161,MIXPIX -- Mi-Arte.es,"16,99,588",2,1,,2019
162,Der neue CUPRA Ateca – Create your own Path,"28,66,109",,,,2019
163,Grandma falls into crib,"51,98,725","3,233",640,People & Blogs,2016
164,"""Drake"" on the Tube...","26,83,856","7,414",457,Comedy,2012
165,Tundra vs Silverado,"26,00,480",738,672,Autos & Vehicles,2007
166,Capitoline venus,"21,81,160",63,119,Travel & Events,2007
167,Cat and Dog (a love story),"21,94,640","1,626",276,Pets & Animals,2007
168,Blümchen (Blossom) - Herz an Herz,"22,57,460","3,800",199,Music,2006
169,"Ghetto Kids, Kenia OS, Malo - Toketeo (Video Oficial)","16,77,733","2,11,037","7,579",Music,2021
170,"FabLab Glitter Tattoos, Hairlights and Nail Art kits! Be Creative, Be You, Be FabLab! ✨","1,05,00,073",23,,,2021
171,Ricchi E Poveri - Ma non tutta la vita (Official Video) | Sanremo 2024,"68,49,596","59,198",,Music,2024
172,"Alex Ponce, BLANKO - La Sin Sentimientos (Official Video)","24,43,713","88,475",,Music,2024
173,"Olly, Juli - Balorda nostalgia (Official Video - Sanremo 2025)","2,72,15,183","1,61,626",,Music,2025
174,"ROA, De La Rose, Luar La L, Yan Block, Omar Courtz - ETA RMX","91,40,994","1,79,818",,Music,2024
175,Affet,"14,22,342","4,331",,Music,2025
176,Bunny Girl,"21,26,674","81,236",,Music,2024
177,perfekte welle,"23,37,888","4,430",174,,2005
178,Rooftop Driving Experience,"16,45,377",14,3,,2019
179,Silent Monks Singing Halleluia,"2,10,61,223","50,817","1,336",Comedy,2008
180,ABBA Dancing Queen 1976,"2,06,88,870","22,826",851,Music,2006
181,Horse attacks alligator! Payne's prairie 4/12/17,"21,73,396","2,235",200,People & Blogs,2017
182,two fake umps.MOV,"13,38,441","3,712",135,Sports,2010
183,Safe Sleep for Baby,"34,00,850",181,156,Education,2011
184,westerland,"52,89,591","8,542",269,,2006
185,WTC in a perfect world,"34,76,635","5,982","2,129",Film & Animation,2007
186,The megalodon-World's Biggest Shark,"1,38,93,527","8,744","5,157",Entertainment,2007
187,Groom forgets rings prank,"27,60,303","1,730",212,Entertainment,2016
188,Natalie Jane - AVA (Lyric Video),"15,92,225","59,621",,Music,2022
189,"Berani Lawan Harpic Mom? Pakai Harpic 10x Lebih Bersih, Segampang itu!","1,43,99,348",562,,,2023
190,KUSUKA Keripik Singkong - Greatest Time,"2,18,65,902",16,,,2023
191,SweeTARTS | Be both | Wedding,"8,37,20,474",114,,,2021
192,اختَر صح. شوف الفرق مع ريجين,"79,27,774",1,,,2023
193,"Si, Si Eres Tu","1,03,63,316","3,37,066",,Music,2023
194,7liwa - Rwicha (Official Music Video),"16,62,974","45,556",,Music,2024
195,Teresa & Maria,"1,17,57,639","1,60,328",,Music,2024
196,紫 今 - 魔性の女A　Lyric Video,"15,81,463","61,186",,Music,2024
197,Barbie-Girl,"2,22,25,399","10,788","3,217",Film & Animation,2006
198,ProtoType gameplay,"31,28,367","4,724",605,Entertainment,2008
199,Weird People and Animals,"1,14,74,129","2,458","4,833",Comedy,2008
200,Lola and Annie - Road Trip Karaoke,"70,95,244","4,677",200,Comedy,2017
201,DIESEL LOUIE,"16,05,558","1,035",52,Autos & Vehicles,2007
202,4 year old little girl feeding and controlling six #pitbulls / Girl Controls Future Dog Trainer,"66,91,213","3,008",342,People & Blogs,2015
203,Big Fish - trailer,"21,26,010","3,046",119,Entertainment,2006
204,over 500 strokes per minute,"22,85,448","1,104","5,442",Howto & Style,2007
205,Titanic - The Drawing Scene,"17,65,315",444,"1,079",Comedy,2006
206,"morodo, la yerba del rey","53,37,381","5,237",263,News & Politics,2007
207,Mulatto - No Hook (Official Video),"21,38,136","1,23,687","1,793",Music,2020
208,Devils Fingers or Octopus Fungus Clathrus archeri December 2014,"67,05,396",791,42,Autos & Vehicles,2014
209,"Gerald Daugherty Campaign: ""Please Re-Elect Gerald...Please!""","39,23,892","6,783",103,People & Blogs,2016
210,Smart German Shepherd:  Twitch Letting Sophie Out of Her Kennel,"90,71,139","6,457",432,Pets & Animals,2012
211,Help your local hospital workers in the fight against COVID-19,"18,95,774",0,0,,2020
212,Morray - Trenches (Official Music Video),"13,52,140","58,129","1,051",Music,2021
213,Beéle - Si Te Interesa (Official Video),"14,50,005","94,228","1,067",Music,2021
214,NURO Biz「安定性」篇 15秒,"64,59,787",4,,,2022
215,CHAINSAW BLOOD / Vaundy：MUSIC VIDEO,"57,67,744","98,070",,Music,2022
216,Your Wyndham Is Waiting :30,"1,25,59,128",,,,2023
217,LINDOR Made to Melt You,"7,28,15,244",108,,,2021
218,"Yovie Widianto, Ziva Magnolya - Menanti (Official Music Video)","32,64,026","58,596",,Music,2023
219,‎Good Night Good Dream (좋은 밤 좋은 꿈),"17,76,477","9,118",,Music,2024
220,Addison Rae - Aquamarine (Official Video),"26,41,333","1,35,303",,Music,2024
221,Corazón Partido,"14,94,141","17,261",,Music,2025
222,supercars accidents !!!!!!!,"20,21,817",694,230,Autos & Vehicles,2007
223,Bieżnie inSPORTline - Na każdą pogodę!,"1,60,93,134",30,27,People & Blogs,2017
224,Aitch - Safe To Say,"13,30,363","84,759","1,749",Music,2020
